Initializing Trading Engine and Market Generator...
[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] POST   /order                    --> backend/internal/api.(*Handler).PlaceOrder-fm (4 handlers)
[GIN-debug] POST   /cancel                   --> backend/internal/api.(*Handler).CancelOrder-fm (4 handlers)
[GIN-debug] GET    /portfolio                --> backend/internal/api.(*Handler).GetPortfolio-fm (4 handlers)
[GIN-debug] GET    /ws                       --> main.main.func2 (4 handlers)
Systems running. Listening for trades and updates...
API Server starting on :8080...
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://github.com/gin-gonic/gin/blob/master/docs/doc.md#dont-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on :8080
[TRADE] Price: 100.20 | Qty:   1.20 | Buyer: 68d7541c | Seller: a967af31 | Time: 12:33:31.151
[TRADE] Price: 100.20 | Qty:   0.57 | Buyer: e3e97fe9 | Seller: a967af31 | Time: 12:33:31.151
[TRADE] Price: 100.20 | Qty:   0.13 | Buyer: fa8ef5ce | Seller: a967af31 | Time: 12:33:31.151
[TRADE] Price: 100.67 | Qty:   0.26 | Buyer: d2ff8f54 | Seller: 0bd928eb | Time: 12:33:31.352
[TRADE] Price: 100.67 | Qty:   0.43 | Buyer: d2ff8f54 | Seller: 425677ea | Time: 12:33:31.352
[TRADE] Price: 100.63 | Qty:   0.42 | Buyer: ca57efac | Seller: 425677ea | Time: 12:33:31.352
[TRADE] Price: 100.63 | Qty:   1.86 | Buyer: ca57efac | Seller: 0c85b08d | Time: 12:33:31.552
[TRADE] Price: 100.63 | Qty:   0.50 | Buyer: ca57efac | Seller: fbb889cd | Time: 12:33:31.752
[TRADE] Price: 100.60 | Qty:   1.12 | Buyer: ae2bb0a5 | Seller: fbb889cd | Time: 12:33:31.752
[TRADE] Price: 100.49 | Qty:   0.58 | Buyer: bfd5846b | Seller: fbb889cd | Time: 12:33:31.752
[TRADE] Price: 100.65 | Qty:   2.28 | Buyer: 0f8e6b31 | Seller: 42d191b0 | Time: 12:33:31.852
[TRADE] Price: 100.65 | Qty:   0.56 | Buyer: 0f8e6b31 | Seller: d3a217b9 | Time: 12:33:32.052
[TRADE] Price: 100.67 | Qty:   0.21 | Buyer: e8f5efb7 | Seller: 0b01d440 | Time: 12:33:32.052
[TRADE] Price: 100.65 | Qty:   0.10 | Buyer: 0f8e6b31 | Seller: 0b01d440 | Time: 12:33:32.052
[TRADE] Price: 100.63 | Qty:   1.93 | Buyer: 3101402c | Seller: 0b01d440 | Time: 12:33:32.052
[TRADE] Price: 100.54 | Qty:   0.76 | Buyer: fd9ae88d | Seller: 0b01d440 | Time: 12:33:32.052
[TRADE] Price: 100.82 | Qty:   0.07 | Buyer: bb961131 | Seller: 8b3451b6 | Time: 12:33:32.351
[TRADE] Price: 100.89 | Qty:   0.40 | Buyer: 5b0f2c1c | Seller: fc72595a | Time: 12:33:32.852
[TRADE] Price: 100.82 | Qty:   0.61 | Buyer: bb961131 | Seller: fc72595a | Time: 12:33:32.852
[TRADE] Price: 100.82 | Qty:   1.47 | Buyer: bb961131 | Seller: 46bde273 | Time: 12:33:32.952
[TRADE] Price: 100.79 | Qty:   0.61 | Buyer: c134a3f6 | Seller: 46bde273 | Time: 12:33:32.952
[TRADE] Price: 100.79 | Qty:   1.49 | Buyer: c134a3f6 | Seller: fd6b29af | Time: 12:33:33.052
[TRADE] Price: 100.96 | Qty:   0.52 | Buyer: dbe3d76f | Seller: 75b02114 | Time: 12:33:33.251
[TRADE] Price: 100.95 | Qty:   0.38 | Buyer: 4237b908 | Seller: 75b02114 | Time: 12:33:33.251
[TRADE] Price: 100.79 | Qty:   0.57 | Buyer: c134a3f6 | Seller: 75b02114 | Time: 12:33:33.251
[TRADE] Price: 100.76 | Qty:   0.33 | Buyer: 74a29f62 | Seller: 75b02114 | Time: 12:33:33.251
[TRADE] Price: 100.91 | Qty:   2.14 | Buyer: a8bdbebc | Seller: 15fe037a | Time: 12:33:33.352
[TRADE] Price: 100.84 | Qty:   0.01 | Buyer: acfe4c69 | Seller: 15fe037a | Time: 12:33:33.352
[TRADE] Price: 100.84 | Qty:   0.32 | Buyer: acfe4c69 | Seller: c236430a | Time: 12:33:33.552
[TRADE] Price: 100.84 | Qty:   0.46 | Buyer: acfe4c69 | Seller: 520ab953 | Time: 12:33:33.752
[TRADE] Price: 100.76 | Qty:   0.04 | Buyer: 74a29f62 | Seller: 520ab953 | Time: 12:33:33.752
[TRADE] Price: 100.84 | Qty:   2.71 | Buyer: 7396eb36 | Seller: 8756056f | Time: 12:33:33.952
[TRADE] Price: 100.82 | Qty:   0.12 | Buyer: aaef258b | Seller: 8756056f | Time: 12:33:33.952
[TRADE] Price: 100.82 | Qty:   1.60 | Buyer: aaef258b | Seller: 46dfddd3 | Time: 12:33:34.153
[TRADE] Price: 100.82 | Qty:   0.59 | Buyer: aaef258b | Seller: c7265a1d | Time: 12:33:34.153
[TRADE] Price: 100.91 | Qty:   0.66 | Buyer: 3a43e611 | Seller: c25b4cd0 | Time: 12:33:34.251
[TRADE] Price: 100.91 | Qty:   0.23 | Buyer: 3a43e611 | Seller: d3647eb2 | Time: 12:33:34.251
[TRADE] Price: 100.82 | Qty:   0.68 | Buyer: aaef258b | Seller: d3647eb2 | Time: 12:33:34.251
[TRADE] Price: 100.81 | Qty:   1.35 | Buyer: 9af27d0a | Seller: d3647eb2 | Time: 12:33:34.251
[TRADE] Price: 100.81 | Qty:   0.94 | Buyer: 9af27d0a | Seller: f66b9145 | Time: 12:33:34.251
[TRADE] Price: 100.81 | Qty:   0.33 | Buyer: 9af27d0a | Seller: 0332ce5f | Time: 12:33:34.352
[TRADE] Price: 100.76 | Qty:   1.25 | Buyer: 74a29f62 | Seller: 0332ce5f | Time: 12:33:34.352
[TRADE] Price: 100.74 | Qty:   0.46 | Buyer: 5987dfbd | Seller: 0332ce5f | Time: 12:33:34.352
[TRADE] Price: 100.73 | Qty:   0.12 | Buyer: 2c8fbf28 | Seller: 0332ce5f | Time: 12:33:34.352
[TRADE] Price: 100.65 | Qty:   0.26 | Buyer: a000fe67 | Seller: 0332ce5f | Time: 12:33:34.352
[TRADE] Price: 100.70 | Qty:   0.71 | Buyer: 774c6857 | Seller: 0251454a | Time: 12:33:34.552
[TRADE] Price: 100.70 | Qty:   0.19 | Buyer: 774c6857 | Seller: 619a9d96 | Time: 12:33:34.552
[TRADE] Price: 100.65 | Qty:   0.43 | Buyer: a000fe67 | Seller: 619a9d96 | Time: 12:33:34.552
[TRADE] Price: 100.65 | Qty:   0.56 | Buyer: a000fe67 | Seller: cde51cc9 | Time: 12:33:34.652
[TRADE] Price: 100.64 | Qty:   0.64 | Buyer: c7d85e6a | Seller: cde51cc9 | Time: 12:33:34.652
[TRADE] Price: 101.12 | Qty:   0.96 | Buyer: 0bc1a900 | Seller: 8bee188c | Time: 12:33:35.152
[TRADE] Price: 101.11 | Qty:   1.00 | Buyer: 5743c80c | Seller: 8bee188c | Time: 12:33:35.152
[TRADE] Price: 101.11 | Qty:   1.28 | Buyer: 5743c80c | Seller: 40b3ede7 | Time: 12:33:35.252
[TRADE] Price: 101.11 | Qty:   0.46 | Buyer: 5743c80c | Seller: a43535d6 | Time: 12:33:35.252
[TRADE] Price: 101.11 | Qty:   0.14 | Buyer: 5743c80c | Seller: ef393d36 | Time: 12:33:35.352
[TRADE] Price: 101.07 | Qty:   0.21 | Buyer: 98f6c203 | Seller: ef393d36 | Time: 12:33:35.352
[TRADE] Price: 101.07 | Qty:   0.03 | Buyer: 98f6c203 | Seller: fa33f4b3 | Time: 12:33:35.352
[TRADE] Price: 101.07 | Qty:   2.29 | Buyer: 98f6c203 | Seller: a90128e7 | Time: 12:33:35.452
[TRADE] Price: 101.07 | Qty:   0.44 | Buyer: e5fa8191 | Seller: a90128e7 | Time: 12:33:35.452
[TRADE] Price: 101.07 | Qty:   2.14 | Buyer: e5fa8191 | Seller: 5813c1ac | Time: 12:33:35.552
[TRADE] Price: 101.07 | Qty:   0.41 | Buyer: e5fa8191 | Seller: 1a27cfc5 | Time: 12:33:35.653
[TRADE] Price: 101.01 | Qty:   1.93 | Buyer: 91639bb5 | Seller: 1a27cfc5 | Time: 12:33:35.653
[TRADE] Price: 101.17 | Qty:   0.52 | Buyer: 1285c517 | Seller: c5329a22 | Time: 12:33:35.851
[TRADE] Price: 101.17 | Qty:   1.96 | Buyer: 1285c517 | Seller: da02401f | Time: 12:33:35.851
[TRADE] Price: 101.01 | Qty:   0.05 | Buyer: 91639bb5 | Seller: da02401f | Time: 12:33:35.851
[TRADE] Price: 100.99 | Qty:   0.93 | Buyer: df48234b | Seller: da02401f | Time: 12:33:35.851
[TRADE] Price: 101.16 | Qty:   1.28 | Buyer: 9794446f | Seller: a6dd0988 | Time: 12:33:36.051
[TRADE] Price: 100.99 | Qty:   0.35 | Buyer: df48234b | Seller: a6dd0988 | Time: 12:33:36.051
[TRADE] Price: 100.95 | Qty:   0.99 | Buyer: 168f04e5 | Seller: a6dd0988 | Time: 12:33:36.051
[TRADE] Price: 100.91 | Qty:   0.03 | Buyer: 3e840dde | Seller: a6dd0988 | Time: 12:33:36.051
[TRADE] Price: 100.99 | Qty:   1.47 | Buyer: cec192f4 | Seller: 73f93b0a | Time: 12:33:36.352
[TRADE] Price: 100.99 | Qty:   0.93 | Buyer: cec192f4 | Seller: ac214d02 | Time: 12:33:36.352
[TRADE] Price: 100.94 | Qty:   1.85 | Buyer: c962d4b5 | Seller: ac214d02 | Time: 12:33:36.352
[TRADE] Price: 100.91 | Qty:   0.04 | Buyer: 3e840dde | Seller: ac214d02 | Time: 12:33:36.352
[TRADE] Price: 100.91 | Qty:   0.22 | Buyer: 3e840dde | Seller: 7aa4d9ec | Time: 12:33:36.652
[TRADE] Price: 100.90 | Qty:   1.81 | Buyer: d2d7cb54 | Seller: 7aa4d9ec | Time: 12:33:36.652
[TRADE] Price: 100.90 | Qty:   0.76 | Buyer: d2d7cb54 | Seller: 10145777 | Time: 12:33:36.752
[TRADE] Price: 100.88 | Qty:   1.15 | Buyer: 302970c7 | Seller: 10145777 | Time: 12:33:36.752
[TRADE] Price: 100.88 | Qty:   0.60 | Buyer: 302970c7 | Seller: fd044713 | Time: 12:33:36.852
[TRADE] Price: 100.86 | Qty:   1.05 | Buyer: d3b2a1c4 | Seller: fd044713 | Time: 12:33:36.852
[TRADE] Price: 100.86 | Qty:   1.35 | Buyer: d3b2a1c4 | Seller: 3776588a | Time: 12:33:36.852
[TRADE] Price: 100.85 | Qty:   0.27 | Buyer: 7f517d8b | Seller: 3776588a | Time: 12:33:36.852
[TRADE] Price: 100.85 | Qty:   0.70 | Buyer: 7f517d8b | Seller: 29ffd799 | Time: 12:33:36.952
[TRADE] Price: 100.85 | Qty:   0.12 | Buyer: 7f517d8b | Seller: cf0534e7 | Time: 12:33:37.052
[TRADE] Price: 101.23 | Qty:   0.72 | Buyer: cacd8093 | Seller: 80b7d19a | Time: 12:33:37.052
[TRADE] Price: 100.85 | Qty:   1.43 | Buyer: 7f517d8b | Seller: 80b7d19a | Time: 12:33:37.052
[TRADE] Price: 101.04 | Qty:   1.26 | Buyer: 2b43a77d | Seller: 0ad1731e | Time: 12:33:37.152
[TRADE] Price: 101.21 | Qty:   0.21 | Buyer: 08f8dd8f | Seller: 80d4c439 | Time: 12:33:37.152
[TRADE] Price: 101.30 | Qty:   1.29 | Buyer: 05f5f986 | Seller: fff87d50 | Time: 12:33:37.452
[TRADE] Price: 101.32 | Qty:   0.86 | Buyer: 05f5f986 | Seller: 8a517ff7 | Time: 12:33:37.452
[TRADE] Price: 101.35 | Qty:   0.75 | Buyer: 05f5f986 | Seller: a48b8d6a | Time: 12:33:37.452
[TRADE] Price: 101.21 | Qty:   0.30 | Buyer: 08f8dd8f | Seller: a48b8d6a | Time: 12:33:37.452
[TRADE] Price: 101.21 | Qty:   2.10 | Buyer: 08f8dd8f | Seller: 530ad42c | Time: 12:33:37.552
[TRADE] Price: 101.21 | Qty:   0.04 | Buyer: 08f8dd8f | Seller: 3086e0ef | Time: 12:33:37.552
[TRADE] Price: 101.04 | Qty:   0.14 | Buyer: 2b43a77d | Seller: 3086e0ef | Time: 12:33:37.552
[TRADE] Price: 100.96 | Qty:   0.02 | Buyer: 15efaa35 | Seller: 3086e0ef | Time: 12:33:37.552
[TRADE] Price: 100.93 | Qty:   1.92 | Buyer: 1340fca4 | Seller: 3086e0ef | Time: 12:33:37.552
[TRADE] Price: 100.92 | Qty:   0.27 | Buyer: 34112efb | Seller: 3086e0ef | Time: 12:33:37.552
[TRADE] Price: 101.16 | Qty:   2.92 | Buyer: 62f1fa9b | Seller: fe54ecaa | Time: 12:33:37.651
[TRADE] Price: 101.23 | Qty:   0.23 | Buyer: ec2e22ca | Seller: 67a14e73 | Time: 12:33:37.752
[TRADE] Price: 101.23 | Qty:   1.63 | Buyer: ec2e22ca | Seller: 7dbe175c | Time: 12:33:37.952
[TRADE] Price: 101.16 | Qty:   0.02 | Buyer: 62f1fa9b | Seller: 7dbe175c | Time: 12:33:37.952
[TRADE] Price: 101.08 | Qty:   0.84 | Buyer: ddf02208 | Seller: 7dbe175c | Time: 12:33:37.952
[TRADE] Price: 101.21 | Qty:   0.83 | Buyer: 1731002e | Seller: 6b2ef7b6 | Time: 12:33:37.952
[TRADE] Price: 101.21 | Qty:   0.36 | Buyer: 1731002e | Seller: b8c9f601 | Time: 12:33:38.051
[TRADE] Price: 101.13 | Qty:   0.90 | Buyer: bd080901 | Seller: b8c9f601 | Time: 12:33:38.051
[TRADE] Price: 101.08 | Qty:   0.09 | Buyer: ddf02208 | Seller: b8c9f601 | Time: 12:33:38.051
[TRADE] Price: 101.08 | Qty:   0.26 | Buyer: ddf02208 | Seller: 4876366a | Time: 12:33:38.152
[TRADE] Price: 101.00 | Qty:   2.27 | Buyer: 45682ef3 | Seller: 4876366a | Time: 12:33:38.152
[TRADE] Price: 100.96 | Qty:   0.37 | Buyer: d312a2a1 | Seller: 4876366a | Time: 12:33:38.152
[TRADE] Price: 101.08 | Qty:   1.72 | Buyer: 366622f1 | Seller: 82c55b18 | Time: 12:33:38.251
[TRADE] Price: 101.21 | Qty:   1.41 | Buyer: bf625d54 | Seller: 92458b27 | Time: 12:33:38.352
[TRADE] Price: 101.08 | Qty:   0.40 | Buyer: 366622f1 | Seller: 92458b27 | Time: 12:33:38.352
[TRADE] Price: 100.96 | Qty:   0.41 | Buyer: d312a2a1 | Seller: 92458b27 | Time: 12:33:38.352
[TRADE] Price: 100.96 | Qty:   0.39 | Buyer: d312a2a1 | Seller: 3323f1e8 | Time: 12:33:38.352
[TRADE] Price: 101.26 | Qty:   1.54 | Buyer: 627dc5ec | Seller: 6c0577c8 | Time: 12:33:38.352
[TRADE] Price: 100.96 | Qty:   0.87 | Buyer: d312a2a1 | Seller: 6c0577c8 | Time: 12:33:38.352
[TRADE] Price: 100.96 | Qty:   0.56 | Buyer: d312a2a1 | Seller: d8fa3de2 | Time: 12:33:38.352
[TRADE] Price: 100.92 | Qty:   0.17 | Buyer: 34112efb | Seller: d8fa3de2 | Time: 12:33:38.352
[TRADE] Price: 100.85 | Qty:   0.05 | Buyer: 7f517d8b | Seller: d8fa3de2 | Time: 12:33:38.352
[TRADE] Price: 100.85 | Qty:   0.85 | Buyer: 316acea8 | Seller: d8fa3de2 | Time: 12:33:38.352
[TRADE] Price: 100.84 | Qty:   0.88 | Buyer: 74adcf58 | Seller: d8fa3de2 | Time: 12:33:38.352
